# ../src/peaksHeights.py --size peakInfo/972 --dat_file ../data/FLC/972.dat
# # column 0: peaks
# # coulmn1 : peak Height
# # column 2: peak prominences
3.950000000000000178e-01	8.084654581925466710e-01	2.213576386496572956e-01
4.249999999999999889e-01	8.221366642497273114e-01	4.323217314204082506e-01
4.550000000000000155e-01	6.078777661241150376e-01	1.470293531109337914e-01
5.050000000000000044e-01	4.866492524529837937e-01	1.258367635633223514e-01
5.350000000000000311e-01	4.898170783659251959e-01	2.003228556034603036e-01
5.650000000000000577e-01	9.997914945675741016e-01	7.200008469400269728e-01
5.949999999999999734e-01	8.591090837877121134e-01	4.060554722894811897e-01
6.350000000000000089e-01	5.475516810749098129e-01	3.029918890116466423e-01
6.550000000000000266e-01	4.412338537800697402e-01	1.036175163211240369e-01
6.750000000000000444e-01	3.269745245861868654e-01	6.535812953577618822e-02
7.050000000000000711e-01	3.859528055525626722e-01	1.934863726276697116e-01
