# ../src/peaksHeights.py --size peakInfo/648 --dat_file ../data/FLC/648.dat
# # column 0: peaks
# # coulmn1 : peak Height
# # column 2: peak prominences
3.750000000000000000e-01	7.279412988996722955e-01	3.043335193434045793e-01
4.050000000000000266e-01	7.004008806293933187e-01	3.199513345695990663e-01
4.650000000000000244e-01	8.354512812123817689e-01	4.946275286552900829e-01
4.949999999999999956e-01	6.469467092029361766e-01	1.459704182560512820e-01
5.150000000000000133e-01	7.239198420483075047e-01	3.543818734293493478e-01
5.550000000000000488e-01	5.759592743350907540e-01	3.247133893544291716e-01
5.749999999999999556e-01	2.574136868356709518e-01	1.056443467120317670e-01
5.949999999999999734e-01	2.368778274016847263e-01	2.666046103075672691e-02
6.149999999999999911e-01	4.519944903358432131e-01	2.270609552769907447e-01
6.550000000000000266e-01	4.851777545958145255e-01	1.139481421663504634e-01
6.850000000000000533e-01	8.468155689218072046e-01	1.603827520587999267e-01
