# ../../src/prob2kcalPerMol.py --suffix freeEnergyLandscapes/10110 --dat_file ../../data/auxCoords/clucountchol/10110.dat
# # column 0: midpoint of bin
# # column 1: delG of the bin in kcal per mol
5.000000000000000000e-01	inf
1.500000000000000000e+00	inf
2.500000000000000000e+00	inf
3.500000000000000000e+00	inf
4.500000000000000000e+00	inf
5.500000000000000000e+00	inf
6.500000000000000000e+00	2.097854246456953398e+00
7.500000000000000000e+00	2.402913296058508674e+00
8.500000000000000000e+00	1.028394968850730118e+00
9.500000000000000000e+00	8.046137833627268199e-01
1.050000000000000000e+01	4.800803867688296367e-01
1.150000000000000000e+01	3.056446162480084272e-01
1.250000000000000000e+01	1.337008478727853833e-01
1.350000000000000000e+01	9.195854317890898855e-02
1.450000000000000000e+01	1.916424794613098281e-01
1.550000000000000000e+01	2.679750843653665449e-01
1.650000000000000000e+01	4.070128803276769069e-01
1.750000000000000000e+01	6.870493014940139975e-01
1.850000000000000000e+01	6.852282706990969752e-01
1.950000000000000000e+01	6.245983357718014606e-01
2.050000000000000000e+01	5.938523569991865925e-01
2.150000000000000000e+01	6.188088399115569960e-01
2.250000000000000000e+01	4.684173080045543891e-01
2.350000000000000000e+01	2.254172103655811832e-01
2.450000000000000000e+01	2.043633033610852967e-01
2.550000000000000000e+01	1.375852592693766752e-01
2.650000000000000000e+01	2.053487218469823572e-01
2.750000000000000000e+01	0.000000000000000000e+00
2.850000000000000000e+01	2.659976369284520192e-01
2.950000000000000000e+01	3.391259605140294342e-01
3.050000000000000000e+01	4.166326341174810266e-01
3.150000000000000000e+01	8.282257417260766585e-01
3.250000000000000000e+01	1.274570582514722883e+00
3.350000000000000000e+01	2.563240935085103089e+00
3.450000000000000000e+01	2.091278488441127070e+00
3.550000000000000000e+01	inf
3.650000000000000000e+01	inf
3.750000000000000000e+01	inf
3.850000000000000000e+01	inf
3.950000000000000000e+01	inf
4.050000000000000000e+01	inf
4.150000000000000000e+01	inf
4.250000000000000000e+01	inf
4.350000000000000000e+01	inf
4.450000000000000000e+01	inf
4.550000000000000000e+01	inf
4.650000000000000000e+01	inf
4.750000000000000000e+01	inf
4.850000000000000000e+01	inf
4.950000000000000000e+01	inf
