324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
324 0.325 0.9043855163834139
648 0.685 0.8468155689218072
972 0.5650000000000001 0.9997914945675741
1944 0.655 0.8739209266044695
3888 0.525 0.8578640342901797
7776 0.545 0.45269997539934137
10110 0.575 0.7414312026431842
