# ../../src/prob2kcalPerMol.py --suffix freeEnergyLandscapes/324 --dat_file ../../data/auxCoords/clusbychol/324.dat
# # column 0: midpoint of bin
# # column 1: delG of the bin in kcal per mol
1.250000000000000069e-02	1.154609689875036455e-01
3.750000000000000555e-02	inf
6.250000000000000000e-02	inf
8.750000000000000833e-02	inf
1.125000000000000028e-01	inf
1.375000000000000111e-01	inf
1.625000000000000333e-01	inf
1.875000000000000000e-01	inf
2.125000000000000222e-01	inf
2.374999999999999889e-01	0.000000000000000000e+00
2.625000000000000111e-01	5.704602653003649770e-01
2.875000000000000333e-01	9.275400488369163199e-01
3.125000000000000000e-01	7.680449504636331914e-01
3.375000000000000222e-01	7.701450674144587616e-01
3.625000000000000444e-01	6.297293592930538475e-01
3.875000000000000111e-01	3.388200679477387789e-01
4.125000000000000333e-01	3.636320785364914876e-01
4.375000000000000000e-01	1.954423066934699860e-01
4.625000000000000222e-01	5.084758541175637969e-01
4.875000000000000444e-01	2.209903681115067686e-01
5.124999999999999556e-01	2.500524640303525281e-01
5.375000000000000888e-01	5.309375774745667131e-01
5.625000000000000000e-01	3.341923390190164600e-01
5.875000000000001332e-01	1.034009447932901615e+00
6.125000000000000444e-01	8.233398634626121204e-01
6.374999999999999556e-01	7.501533564537591348e-01
6.625000000000000888e-01	7.234969906044365073e-01
6.875000000000000000e-01	4.472550997024034580e-01
7.125000000000001332e-01	6.287358469778774328e-01
7.375000000000000444e-01	8.727066116442153687e-01
7.624999999999999556e-01	4.812062476867356997e-01
7.875000000000000888e-01	8.914417151998781375e-01
8.125000000000000000e-01	6.090593937394107593e-01
8.375000000000001332e-01	7.075524433628124221e-01
8.625000000000000444e-01	9.559079386966198300e-01
8.874999999999999556e-01	8.864724746268437539e-01
9.125000000000000888e-01	1.432776698935512183e+00
9.375000000000000000e-01	1.426768313399680466e+00
9.625000000000001332e-01	2.022491371248027026e+00
9.875000000000000444e-01	2.857484485297888011e+00
