# ../../src/prob2kcalPerMol.py --suffix freeEnergyLandscapes/324 --dat_file ../../data/auxCoords/corebydipc/324.dat
# # column 0: midpoint of bin
# # column 1: delG of the bin in kcal per mol
1.250000000000000069e-02	0.000000000000000000e+00
3.750000000000000555e-02	1.289036976008095525e+00
6.250000000000000000e-02	1.561631242975392908e+00
8.750000000000000833e-02	1.697761800013544153e+00
1.125000000000000028e-01	1.711807554317734015e+00
1.375000000000000111e-01	2.213322018343228503e+00
1.625000000000000333e-01	2.613856290794016157e+00
1.875000000000000000e-01	2.784907564690108028e+00
2.125000000000000222e-01	2.817345488311425505e+00
2.374999999999999889e-01	3.552435729133284426e+00
2.625000000000000111e-01	4.248301690959896071e+00
2.875000000000000333e-01	5.184145687558148197e+00
3.125000000000000000e-01	6.573103715814511361e+00
3.375000000000000222e-01	inf
3.625000000000000444e-01	inf
3.875000000000000111e-01	inf
4.125000000000000333e-01	inf
4.375000000000000000e-01	inf
4.625000000000000222e-01	inf
4.875000000000000444e-01	inf
5.124999999999999556e-01	inf
5.375000000000000888e-01	inf
5.625000000000000000e-01	inf
5.875000000000001332e-01	inf
6.125000000000000444e-01	inf
6.374999999999999556e-01	inf
6.625000000000000888e-01	inf
6.875000000000000000e-01	inf
7.125000000000001332e-01	inf
7.375000000000000444e-01	inf
7.624999999999999556e-01	inf
7.875000000000000888e-01	inf
8.125000000000000000e-01	inf
8.375000000000001332e-01	inf
8.625000000000000444e-01	inf
8.874999999999999556e-01	inf
9.125000000000000888e-01	inf
9.375000000000000000e-01	inf
9.625000000000001332e-01	inf
9.875000000000000444e-01	inf
